Abbey Well: sentence, sentence, sentence;
Ability Office: sentence, sentence, sentence;
Abokado: sentence, sentence, sentence;
Admiral Sportswear: sentence, sentence, sentence;
AGA cooker: sentence, sentence, sentence;
Ahmad Tea: sentence, sentence, sentence;
Airbus UK: sentence, sentence, sentence;
Alba (brand): sentence, sentence, sentence;
Alexander McQueen (fashion house): sentence, sentence, sentence;
Alfred Dunhill, Ltd.: sentence, sentence, sentence;
Amber Leaf: sentence, sentence, sentence;
Ambrosia (food brand): sentence, sentence, sentence;
Anglepoise lamp: sentence, sentence, sentence;
Anna Valentine: sentence, sentence, sentence;
Antler Luggage: sentence, sentence, sentence;
Antoria: sentence, sentence, sentence;
Aon (company): sentence, sentence, sentence;
AP Diving: sentence, sentence, sentence;
Arckiv: sentence, sentence, sentence;
Argos (retailer): sentence, sentence, sentence;
Ariel (detergent): sentence, sentence, sentence;
Ariella Fashion House: sentence, sentence, sentence;
Armitage Shanks: sentence, sentence, sentence;
Ascend Cutlery Works: sentence, sentence, sentence;
ASOS (retailer): sentence, sentence, sentence;
AstraZeneca: sentence, sentence, sentence;
Athena (retailer): sentence, sentence, sentence;
Atkinsons of London: sentence, sentence, sentence;
Avalon Guitars: sentence, sentence, sentence;
Aviva: sentence, sentence, sentence;
Avon Protection: sentence, sentence, sentence;
B&Q: sentence, sentence, sentence;
Babycham: sentence, sentence, sentence;
Backes & Strauss: sentence, sentence, sentence;
BAE Systems: sentence, sentence, sentence;
B&G: sentence, sentence, sentence;
Barbour (company): sentence, sentence, sentence;
Barclays: sentence, sentence, sentence;
Barleycup: sentence, sentence, sentence;
Baxi: sentence, sentence, sentence;
BBC: sentence, sentence, sentence;
Be-Ro: sentence, sentence, sentence;
Beltona Resonator Instruments: sentence, sentence, sentence;
Ben Sherman: sentence, sentence, sentence;
Benson & Clegg: sentence, sentence, sentence;
Benson & Hedges: sentence, sentence, sentence;
Bentley: sentence, sentence, sentence;
Berghaus: sentence, sentence, sentence;
Berol: sentence, sentence, sentence;
Betterware: sentence, sentence, sentence;
Bettys and Taylors of Harrogate: sentence, sentence, sentence;
Beulah London: sentence, sentence, sentence;
Binatone: sentence, sentence, sentence;
Bing (soft drink): sentence, sentence, sentence;
Birmingham Battery and Metal Company: sentence, sentence, sentence;
Birmingham Small Arms Company: sentence, sentence, sentence;
Bisto: sentence, sentence, sentence;
Blackwell's: sentence, sentence, sentence;
